3RUL,4setting1,4setting2,3s2,4s3,3s4,4s7,4s8,1s9,5s11,6s12,4s13,1s14,3s15,4s17,6s20,2s21
6RUL,4setting1,8setting2,5s2,7s3,4s4,5s7,2s8,4s9,3s11,5s12,6s13,4s14,5s15,3s17,5s20,5s21
2RUL,5setting1,4setting2,3s2,5s3,3s4,6s7,1s8,7s9,3s11,4s12,7s13,7s14,2s15,6s17,4s20,2s21
3RUL,3setting1,3setting2,8s2,8s3,5s4,6s7,1s8,7s9,4s11,5s12,1s13,7s14,4s15,7s17,5s20,5s21
5RUL,5setting1,6setting2,3s2,2s3,4s4,2s7,1s8,5s9,5s11,5s12,1s13,5s14,4s15,5s17,5s20,4s21
3RUL,5setting1,1setting2,3s2,4s3,6s4,2s7,4s8,1s9,4s11,1s12,4s13,1s14,5s15,5s17,4s20,2s21
5RUL,6setting1,3setting2,6s2,3s3,6s4,6s7,2s8,2s9,2s11,2s12,3s13,2s14,3s15,4s17,5s20,4s21
1RUL,5setting1,2setting2,5s2,5s3,5s4,3s7,3s8,1s9,5s11,4s12,3s13,1s14,7s15,1s17,1s20,4s21
3RUL,3setting1,7setting2,6s2,2s3,3s4,7s7,7s8,8s9,3s11,7s12,8s13,8s14,3s15,8s17,5s20,4s21
4RUL,4setting1,2setting2,4s2,3s3,6s4,8s7,2s8,4s9,3s11,6s12,1s13,4s14,3s15,7s17,6s20,6s21
4RUL,4setting1,5setting2,3s2,3s3,5s4,6s7,2s8,5s9,4s11,6s12,1s13,5s14,3s15,5s17,2s20,4s21
2RUL,4setting1,3setting2,2s2,4s3,6s4,3s7,4s8,1s9,3s11,4s12,4s13,1s14,4s15,2s17,8s20,3s21
2RUL,4setting1,1setting2,7s2,8s3,4s4,3s7,1s8,5s9,5s11,5s12,1s13,5s14,7s15,5s17,6s20,6s21
2RUL,5setting1,3setting2,3s2,3s3,3s4,4s7,1s8,4s9,6s11,8s12,2s13,4s14,4s15,5s17,3s20,2s21
3RUL,4setting1,5setting2,4s2,3s3,5s4,5s7,4s8,1s9,6s11,4s12,4s13,1s14,6s15,4s17,5s20,4s21
3RUL,5setting1,3setting2,4s2,4s3,4s4,3s7,3s8,2s9,5s11,3s12,3s13,2s14,4s15,5s17,3s20,7s21
6RUL,4setting1,1setting2,6s2,3s3,5s4,4s7,1s8,6s9,3s11,7s12,1s13,6s14,4s15,5s17,6s20,4s21
3RUL,2setting1,3setting2,5s2,4s3,3s4,4s7,6s8,8s9,2s11,3s12,5s13,8s14,3s15,7s17,6s20,4s21
2RUL,3setting1,7setting2,2s2,6s3,6s4,2s7,4s8,1s9,5s11,2s12,4s13,1s14,5s15,4s17,2s20,1s21
4RUL,5setting1,1setting2,5s2,3s3,4s4,5s7,4s8,2s9,4s11,5s12,3s13,2s14,6s15,5s17,7s20,3s21
3RUL,5setting1,4setting2,5s2,6s3,5s4,5s7,1s8,5s9,2s11,7s12,2s13,6s14,4s15,8s17,5s20,2s21
3RUL,5setting1,3setting2,4s2,7s3,4s4,3s7,4s8,2s9,4s11,3s12,4s13,2s14,5s15,7s17,5s20,3s21
2RUL,4setting1,6setting2,2s2,5s3,5s4,4s7,3s8,2s9,4s11,5s12,5s13,2s14,3s15,5s17,3s20,1s21
1RUL,4setting1,7setting2,5s2,4s3,4s4,2s7,4s8,1s9,4s11,3s12,3s13,1s14,6s15,7s17,7s20,4s21
4RUL,1setting1,5setting2,4s2,7s3,5s4,7s7,1s8,5s9,3s11,7s12,2s13,5s14,2s15,7s17,4s20,4s21
3RUL,4setting1,6setting2,3s2,3s3,5s4,5s7,2s8,5s9,2s11,2s12,2s13,6s14,5s15,7s17,2s20,3s21
1RUL,4setting1,7setting2,4s2,6s3,4s4,4s7,1s8,5s9,5s11,3s12,1s13,5s14,4s15,5s17,8s20,5s21
2RUL,2setting1,1setting2,6s2,4s3,5s4,5s7,2s8,3s9,2s11,3s12,2s13,3s14,5s15,4s17,4s20,7s21
2RUL,3setting1,2setting2,6s2,3s3,6s4,5s7,2s8,1s9,4s11,5s12,3s13,1s14,8s15,4s17,2s20,4s21
3RUL,4setting1,8setting2,2s2,5s3,8s4,3s7,4s8,1s9,4s11,2s12,4s13,1s14,5s15,4s17,1s20,8s21
4RUL,5setting1,3setting2,3s2,3s3,2s4,2s7,4s8,1s9,6s11,5s12,5s13,1s14,1s15,5s17,5s20,4s21
3RUL,5setting1,2setting2,2s2,6s3,6s4,4s7,1s8,3s9,8s11,4s12,2s13,3s14,6s15,4s17,2s20,6s21
3RUL,3setting1,2setting2,5s2,6s3,5s4,4s7,2s8,1s9,5s11,5s12,4s13,2s14,3s15,5s17,4s20,3s21
3RUL,6setting1,8setting2,5s2,3s3,6s4,4s7,1s8,5s9,6s11,6s12,1s13,6s14,2s15,5s17,3s20,3s21
2RUL,4setting1,6setting2,5s2,4s3,5s4,3s7,3s8,3s9,3s11,5s12,3s13,3s14,3s15,4s17,5s20,3s21
2RUL,4setting1,3setting2,2s2,6s3,5s4,5s7,3s8,1s9,5s11,3s12,4s13,1s14,5s15,4s17,4s20,3s21
2RUL,5setting1,1setting2,5s2,5s3,2s4,4s7,3s8,1s9,7s11,2s12,3s13,1s14,7s15,4s17,4s20,7s21
3RUL,3setting1,7setting2,5s2,6s3,2s4,5s7,3s8,5s9,8s11,6s12,1s13,5s14,8s15,5s17,3s20,3s21
1RUL,2setting1,6setting2,4s2,5s3,3s4,2s7,4s8,1s9,5s11,1s12,4s13,1s14,3s15,2s17,6s20,4s21
3RUL,4setting1,2setting2,5s2,8s3,5s4,3s7,2s8,5s9,2s11,7s12,3s13,5s14,5s15,5s17,4s20,5s21
4RUL,3setting1,3setting2,3s2,5s3,3s4,5s7,1s8,5s9,6s11,6s12,1s13,5s14,2s15,7s17,2s20,6s21
3RUL,3setting1,6setting2,2s2,2s3,3s4,3s7,3s8,2s9,2s11,4s12,3s13,2s14,3s15,2s17,5s20,3s21
3RUL,4setting1,4setting2,6s2,3s3,3s4,2s7,5s8,1s9,2s11,3s12,4s13,1s14,1s15,5s17,5s20,3s21
3RUL,5setting1,2setting2,5s2,7s3,7s4,6s7,1s8,2s9,2s11,5s12,2s13,3s14,4s15,4s17,4s20,1s21
2RUL,5setting1,3setting2,4s2,3s3,7s4,5s7,2s8,3s9,6s11,5s12,2s13,3s14,7s15,4s17,1s20,4s21
5RUL,5setting1,6setting2,8s2,5s3,6s4,2s7,3s8,1s9,5s11,4s12,4s13,1s14,2s15,5s17,4s20,3s21
3RUL,6setting1,3setting2,3s2,5s3,5s4,5s7,2s8,3s9,5s11,5s12,2s13,4s14,4s15,2s17,6s20,6s21
4RUL,2setting1,1setting2,6s2,7s3,6s4,5s7,8s8,8s9,2s11,8s12,8s13,8s14,1s15,7s17,5s20,3s21
3RUL,5setting1,1setting2,7s2,1s3,5s4,2s7,3s8,2s9,5s11,2s12,4s13,2s14,2s15,4s17,5s20,3s21
3RUL,6setting1,5setting2,5s2,7s3,5s4,6s7,2s8,4s9,2s11,6s12,3s13,5s14,2s15,4s17,5s20,6s21
3RUL,5setting1,7setting2,6s2,6s3,3s4,5s7,8s8,8s9,1s11,7s12,8s13,8s14,5s15,5s17,4s20,5s21
3RUL,3setting1,1setting2,4s2,4s3,6s4,7s7,1s8,4s9,4s11,2s12,2s13,4s14,3s15,5s17,3s20,3s21
3RUL,4setting1,1setting2,7s2,8s3,1s4,8s7,1s8,5s9,4s11,4s12,1s13,6s14,4s15,4s17,3s20,4s21
5RUL,3setting1,2setting2,5s2,4s3,5s4,4s7,1s8,5s9,4s11,4s12,1s13,5s14,5s15,2s17,2s20,4s21
3RUL,6setting1,4setting2,6s2,6s3,5s4,5s7,1s8,7s9,4s11,8s12,1s13,7s14,5s15,5s17,6s20,7s21
6RUL,1setting1,5setting2,6s2,4s3,3s4,4s7,1s8,5s9,4s11,5s12,2s13,5s14,4s15,4s17,2s20,4s21
1RUL,4setting1,2setting2,6s2,2s3,5s4,3s7,4s8,1s9,5s11,2s12,3s13,1s14,7s15,1s17,1s20,4s21
1RUL,2setting1,6setting2,4s2,1s3,7s4,4s7,3s8,1s9,6s11,5s12,4s13,1s14,4s15,2s17,2s20,8s21
4RUL,5setting1,1setting2,3s2,3s3,2s4,2s7,3s8,2s9,4s11,2s12,3s13,2s14,3s15,2s17,5s20,4s21
2RUL,4setting1,7setting2,4s2,6s3,6s4,3s7,1s8,5s9,2s11,8s12,2s13,5s14,5s15,4s17,1s20,2s21
2RUL,1setting1,4setting2,2s2,5s3,2s4,3s7,3s8,1s9,5s11,5s12,3s13,1s14,4s15,5s17,3s20,2s21
2RUL,2setting1,3setting2,3s2,2s3,3s4,3s7,3s8,1s9,4s11,4s12,4s13,1s14,6s15,4s17,3s20,3s21
2RUL,4setting1,2setting2,3s2,5s3,2s4,5s7,1s8,6s9,4s11,7s12,1s13,6s14,4s15,5s17,3s20,8s21
6RUL,5setting1,3setting2,5s2,6s3,2s4,1s7,1s8,4s9,4s11,4s12,2s13,4s14,6s15,5s17,5s20,5s21
1RUL,5setting1,3setting2,5s2,1s3,5s4,3s7,3s8,1s9,3s11,5s12,4s13,1s14,4s15,4s17,4s20,6s21
3RUL,2setting1,7setting2,5s2,7s3,4s4,5s7,2s8,2s9,4s11,3s12,3s13,2s14,6s15,4s17,4s20,6s21
7RUL,4setting1,2setting2,3s2,3s3,2s4,4s7,3s8,2s9,5s11,7s12,2s13,2s14,8s15,5s17,5s20,6s21
3RUL,2setting1,1setting2,5s2,7s3,4s4,4s7,2s8,5s9,4s11,5s12,1s13,6s14,4s15,2s17,4s20,5s21
8RUL,4setting1,4setting2,4s2,3s3,3s4,5s7,4s8,2s9,2s11,2s12,4s13,1s14,3s15,5s17,4s20,2s21
1RUL,5setting1,4setting2,2s2,5s3,6s4,5s7,1s8,3s9,4s11,4s12,3s13,3s14,5s15,4s17,6s20,6s21
3RUL,5setting1,6setting2,3s2,3s3,7s4,4s7,1s8,5s9,2s11,6s12,2s13,6s14,4s15,5s17,2s20,3s21
3RUL,4setting1,2setting2,5s2,3s3,3s4,2s7,4s8,1s9,4s11,4s12,5s13,1s14,7s15,2s17,5s20,7s21
3RUL,3setting1,6setting2,3s2,3s3,3s4,5s7,3s8,1s9,3s11,5s12,5s13,1s14,6s15,4s17,7s20,4s21
2RUL,5setting1,6setting2,2s2,5s3,4s4,1s7,4s8,2s9,3s11,4s12,3s13,1s14,5s15,7s17,3s20,3s21
4RUL,4setting1,5setting2,4s2,4s3,5s4,6s7,4s8,1s9,5s11,4s12,4s13,1s14,3s15,2s17,7s20,4s21
3RUL,2setting1,6setting2,4s2,3s3,5s4,3s7,3s8,2s9,5s11,3s12,3s13,2s14,4s15,4s17,6s20,5s21
1RUL,4setting1,1setting2,3s2,4s3,1s4,6s7,3s8,2s9,3s11,3s12,3s13,2s14,3s15,8s17,2s20,3s21
4RUL,3setting1,5setting2,2s2,2s3,3s4,5s7,3s8,3s9,5s11,2s12,2s13,3s14,4s15,4s17,2s20,6s21
3RUL,3setting1,1setting2,3s2,3s3,7s4,3s7,3s8,3s9,4s11,4s12,2s13,3s14,5s15,5s17,4s20,6s21
2RUL,5setting1,4setting2,5s2,6s3,1s4,5s7,2s8,6s9,2s11,6s12,2s13,6s14,4s15,5s17,3s20,4s21
4RUL,2setting1,2setting2,6s2,4s3,1s4,2s7,3s8,2s9,3s11,4s12,2s13,2s14,1s15,5s17,4s20,4s21
3RUL,3setting1,6setting2,4s2,4s3,3s4,5s7,1s8,7s9,6s11,6s12,1s13,7s14,4s15,8s17,7s20,4s21
6RUL,4setting1,1setting2,4s2,6s3,4s4,5s7,3s8,1s9,4s11,3s12,4s13,1s14,3s15,5s17,4s20,3s21
5RUL,3setting1,5setting2,4s2,6s3,4s4,1s7,3s8,2s9,4s11,5s12,2s13,2s14,5s15,4s17,6s20,5s21
3RUL,3setting1,4setting2,4s2,5s3,6s4,3s7,3s8,1s9,4s11,4s12,4s13,1s14,2s15,4s17,8s20,2s21
6RUL,4setting1,1setting2,1s2,4s3,2s4,5s7,2s8,2s9,4s11,4s12,2s13,3s14,1s15,7s17,6s20,3s21
2RUL,5setting1,5setting2,3s2,3s3,5s4,4s7,4s8,1s9,3s11,5s12,4s13,1s14,3s15,5s17,8s20,5s21
3RUL,3setting1,6setting2,4s2,5s3,5s4,5s7,1s8,5s9,7s11,6s12,2s13,5s14,2s15,5s17,5s20,2s21
4RUL,7setting1,3setting2,1s2,5s3,4s4,3s7,1s8,3s9,7s11,5s12,2s13,3s14,1s15,5s17,1s20,5s21
1RUL,3setting1,3setting2,4s2,3s3,6s4,2s7,4s8,1s9,7s11,3s12,4s13,1s14,8s15,2s17,5s20,5s21
1RUL,5setting1,3setting2,6s2,6s3,5s4,2s7,3s8,1s9,6s11,2s12,3s13,1s14,4s15,4s17,6s20,5s21
8RUL,4setting1,1setting2,6s2,6s3,3s4,4s7,2s8,5s9,2s11,5s12,1s13,5s14,6s15,5s17,2s20,5s21
1RUL,7setting1,6setting2,3s2,5s3,3s4,2s7,2s8,2s9,4s11,3s12,3s13,2s14,1s15,4s17,5s20,6s21
5RUL,6setting1,7setting2,6s2,4s3,2s4,4s7,1s8,5s9,5s11,5s12,2s13,5s14,5s15,4s17,2s20,3s21
6RUL,5setting1,6setting2,3s2,7s3,4s4,4s7,2s8,4s9,4s11,3s12,2s13,4s14,8s15,4s17,4s20,5s21
8RUL,2setting1,1setting2,4s2,3s3,5s4,2s7,3s8,2s9,4s11,2s12,3s13,2s14,2s15,5s17,3s20,4s21
3RUL,5setting1,5setting2,5s2,8s3,3s4,5s7,1s8,7s9,1s11,5s12,1s13,7s14,5s15,5s17,2s20,6s21
1RUL,8setting1,2setting2,1s2,5s3,5s4,4s7,3s8,2s9,6s11,4s12,3s13,1s14,5s15,4s17,3s20,6s21
2RUL,3setting1,1setting2,5s2,3s3,1s4,1s7,3s8,1s9,6s11,6s12,3s13,2s14,6s15,5s17,6s20,8s21
3RUL,2setting1,1setting2,5s2,4s3,5s4,2s7,3s8,2s9,4s11,3s12,3s13,2s14,2s15,4s17,4s20,4s21
